"sender","receiver","lr_pair","score","sign","sender_name","receiver_name"
1,9,3,0.0186044482085264,-1,"Tumor","NK"
2,1,3,0.00676893488628368,-1,"CD8","Tumor"
2,2,3,0.505130441565431,-1,"CD8","CD8"
2,3,3,0.251410394999451,-1,"CD8","CD4conv"
2,4,3,0.00874433932288116,-1,"CD8","Bcell"
2,5,3,0.222490136666734,-1,"CD8","Treg"
2,6,3,0.004313398546691,-1,"CD8","Macrophage"
2,7,3,0.00620502427446508,-1,"CD8","Endo"
2,9,3,0.0197368424280716,-1,"CD8","NK"
3,1,3,0.00566196594341744,-1,"CD4conv","Tumor"
3,2,3,0.422523100779466,-1,"CD4conv","CD8"
3,3,3,0.210295580947676,-1,"CD4conv","CD4conv"
3,4,3,0.00731431935387125,-1,"CD4conv","Bcell"
3,5,3,0.18610484481185,-1,"CD4conv","Treg"
3,6,3,0.00360799979347404,-1,"CD4conv","Macrophage"
3,7,3,0.00519027538457953,-1,"CD4conv","Endo"
3,9,3,0.0165091453139522,-1,"CD4conv","NK"
4,1,3,0.00265938617249636,-1,"Bcell","Tumor"
4,2,3,0.198456172820953,-1,"Bcell","CD8"
4,3,3,0.0987743772566361,-1,"Bcell","CD4conv"
4,4,3,0.00343548512041512,-1,"Bcell","Bcell"
4,5,3,0.0874121561085352,-1,"Bcell","Treg"
4,6,3,0.00169465250356897,-1,"Bcell","Macrophage"
4,7,3,0.00243783638530116,-1,"Bcell","Endo"
4,9,3,0.00775423116394761,-1,"Bcell","NK"
5,1,3,0.0176700249722315,-1,"Treg","Tumor"
5,2,3,1.318622156461,-1,"Treg","CD8"
5,3,3,0.656296453216127,-1,"Treg","CD4conv"
5,4,3,0.0228267366722754,-1,"Treg","Bcell"
5,5,3,0.5808013132085,-1,"Treg","Treg"
5,6,3,0.0112599487682563,-1,"Treg","Macrophage"
5,7,3,0.016197959608871,-1,"Treg","Endo"
5,9,3,0.0515222120519608,-1,"Treg","NK"
6,1,3,0.0199174956789214,-1,"Macrophage","Tumor"
6,2,3,1.48633921823627,-1,"Macrophage","CD8"
6,3,3,0.739771550496731,-1,"Macrophage","CD4conv"
6,4,3,0.0257300954440307,-1,"Macrophage","Bcell"
6,5,3,0.654674097196891,-1,"Macrophage","Treg"
6,6,3,0.0126921145436445,-1,"Macrophage","Macrophage"
6,7,3,0.0182581966366224,-1,"Macrophage","Endo"
6,9,3,0.0580753811908057,-1,"Macrophage","NK"
7,1,3,0.00886468512759643,-1,"Endo","Tumor"
7,2,3,0.661525393295626,-1,"Endo","CD8"
7,3,3,0.32925032178857,-1,"Endo","CD4conv"
7,4,3,0.0114517004592962,-1,"Endo","Bcell"
7,5,3,0.291375975494032,-1,"Endo","Treg"
7,6,3,0.00564888281370968,-1,"Endo","Macrophage"
7,7,3,0.00812618045915713,-1,"Endo","Endo"
7,9,3,0.0258476254354839,-1,"Endo","NK"
8,1,3,0.00865241249442124,-1,"CAF","Tumor"
8,2,3,0.645684589575484,-1,"CAF","CD8"
8,3,3,0.321366135066329,-1,"CAF","CD4conv"
8,4,3,0.0111774794829346,-1,"CAF","Bcell"
8,5,3,0.28439872309625,-1,"CAF","Treg"
8,6,3,0.00551361537757353,-1,"CAF","Macrophage"
8,7,3,0.00793159196572581,-1,"CAF","Endo"
8,9,3,0.0252286814534314,-1,"CAF","NK"
9,1,3,0.00209012762216763,-1,"NK","Tumor"
9,2,3,0.15597536487654,-1,"NK","CD8"
9,3,3,0.0776310926189051,-1,"NK","CD4conv"
9,4,3,0.00270009764658778,-1,"NK","Bcell"
9,5,3,0.0687010272841177,-1,"NK","Treg"
9,6,3,0.00133190134036085,-1,"NK","Macrophage"
9,7,3,0.00191600197817837,-1,"NK","Endo"
9,9,3,0.0060943885893887,-1,"NK","NK"
1,1,4,0.00213250366357278,-1,"Tumor","Tumor"
1,2,4,0.00692744995059184,-1,"Tumor","CD8"
1,3,4,0.00635767488282727,-1,"Tumor","CD4conv"
1,4,4,0.000846352403464816,-1,"Tumor","Bcell"
1,5,4,0.0127315964362321,-1,"Tumor","Treg"
1,6,4,0.00283403849488578,-1,"Tumor","Macrophage"
1,7,4,0.000353812948263916,-1,"Tumor","Endo"
1,8,4,0.0111879794092439,-1,"Tumor","CAF"
1,9,4,0.00396035064558473,-1,"Tumor","NK"
2,1,4,0.41379101838371,-1,"CD8","Tumor"
2,2,4,1.34420241278978,-1,"CD8","CD8"
2,3,4,1.23364325663577,-1,"CD8","CD4conv"
2,4,4,0.164226223346535,-1,"CD8","Bcell"
2,5,4,2.47043901728758,-1,"CD8","Treg"
2,6,4,0.54991683952031,-1,"CD8","Macrophage"
2,7,4,0.0686538657261594,-1,"CD8","Endo"
2,8,4,2.17091556393898,-1,"CD8","CAF"
2,9,4,0.768466453205303,-1,"CD8","NK"
3,1,4,0.079834744133754,-1,"CD4conv","Tumor"
3,2,4,0.259343608056602,-1,"CD4conv","CD8"
3,3,4,0.238012884210357,-1,"CD4conv","CD4conv"
3,4,4,0.031684976083182,-1,"CD4conv","Bcell"
3,5,4,0.47663399658498,-1,"CD4conv","Treg"
3,6,4,0.106098170882085,-1,"CD4conv","Macrophage"
3,7,4,0.0132457292704177,-1,"CD4conv","Endo"
3,8,4,0.418845457931949,-1,"CD4conv","CAF"
3,9,4,0.148264026867129,-1,"CD4conv","NK"
4,1,4,0.00243337331770212,-1,"Bcell","Tumor"
4,2,4,0.00790482668678977,-1,"Bcell","CD8"
4,3,4,0.00725466346753071,-1,"Bcell","CD4conv"
4,4,4,0.00096576216545105,-1,"Bcell","Bcell"
4,5,4,0.0145278658081055,-1,"Bcell","Treg"
