"path_name","signs","hop","net_sign","contribution","lr_annotation"
"Tumor->Treg->Macrophage->CD8","+,+,+",3,1,0.00103363908729407,"Tumor-+>Treg[LR7/LR8/LR9/LR10/LR11/LR12] | Treg-+>Macrophage[LR7/LR8/LR10/LR11/LR12] | Macrophage-+>CD8[LR7/LR8/LR9/LR10/LR11/LR12]"
"Treg->CD8->Tumor","-,-",2,1,0.000999347167864759,"Treg-->CD8[LR1/LR2/LR3/LR4/LR5/LR6] | CD8-->Tumor[LR1/LR2/LR3/LR4/LR5/LR6]"
"Tumor->CD8->Macrophage->Treg","-,-,+",3,1,0.000995537810176996,"Tumor-->CD8[LR1/LR2/LR3/LR4/LR5/LR6] | CD8-->Macrophage[LR1/LR2/LR3/LR4/LR5/LR6] | Macrophage-+>Treg[LR7/LR8/LR9/LR10/LR11/LR12]"
"CD8->Treg->Tumor","+,+",2,1,0.000984410231994693,"CD8-+>Treg[LR7/LR8/LR9/LR10/LR11/LR12] | Treg-+>Tumor[LR7/LR8/LR10/LR11/LR12]"
"Tumor->NK->CD8->Treg","-,-,+",3,1,0.000976535073469921,"Tumor-->NK[LR1/LR2/LR3/LR4/LR5/LR6] | NK-->CD8[LR1/LR2/LR3/LR4/LR5/LR6] | CD8-+>Treg[LR7/LR8/LR9/LR10/LR11/LR12]"
"Tumor->Treg->CD8->Endo","-,-,+",3,1,0.000965803747229931,"Tumor-->Treg[LR1/LR2/LR3/LR4/LR5/LR6] | Treg-->CD8[LR1/LR2/LR3/LR4/LR5/LR6] | CD8-+>Endo[LR7/LR8/LR9/LR10/LR11]"
"Tumor->CD8->CD4conv->Treg","-,+,-",3,1,0.00096323502873691,"Tumor-->CD8[LR1/LR2/LR3/LR4/LR5/LR6] | CD8-+>CD4conv[LR7/LR8/LR9/LR10/LR11/LR12] | CD4conv-->Treg[LR1/LR2/LR3/LR4/LR5/LR6]"
"Tumor->NK->Treg->CD8","-,-,+",3,1,0.000955951949482163,"Tumor-->NK[LR1/LR2/LR3/LR4/LR5/LR6] | NK-->Treg[LR1/LR2/LR3/LR4/LR5/LR6] | Treg-+>CD8[LR7/LR8/LR10/LR11/LR12]"
"Tumor->CD8->Treg->Macrophage","+,-,-",3,1,0.000953930945775941,"Tumor-+>CD8[LR7/LR8/LR9/LR10/LR11/LR12] | CD8-->Treg[LR1/LR2/LR3/LR4/LR5/LR6] | Treg-->Macrophage[LR1/LR2/LR3/LR4/LR5/LR6]"
"Tumor->Treg->CD4conv->CD8","-,+,-",3,1,0.000934028567587476,"Tumor-->Treg[LR1/LR2/LR3/LR4/LR5/LR6] | Treg-+>CD4conv[LR7/LR8/LR10/LR11/LR12] | CD4conv-->CD8[LR1/LR2/LR3/LR4/LR5/LR6]"
"Tumor->Macrophage->CD8->Treg","+,+,+",3,1,0.000915809289828844,"Tumor-+>Macrophage[LR7/LR8/LR9/LR10/LR11/LR12] | Macrophage-+>CD8[LR7/LR8/LR9/LR10/LR11/LR12] | CD8-+>Treg[LR7/LR8/LR9/LR10/LR11/LR12]"
"Tumor->CD8->Treg->Treg","+,-,-",3,1,0.000908927893610525,"Tumor-+>CD8[LR7/LR8/LR9/LR10/LR11/LR12] | CD8-->Treg[LR1/LR2/LR3/LR4/LR5/LR6] | Treg-->Treg[LR1/LR2/LR3/LR4/LR5/LR6]"
"Tumor->Treg->CD8->Macrophage","+,-,-",3,1,0.000899231787240174,"Tumor-+>Treg[LR7/LR8/LR9/LR10/LR11/LR12] | Treg-->CD8[LR1/LR2/LR3/LR4/LR5/LR6] | CD8-->Macrophage[LR1/LR2/LR3/LR4/LR5/LR6]"
"Tumor->Treg->CD8->Macrophage","-,+,-",3,1,0.000894918901228313,"Tumor-->Treg[LR1/LR2/LR3/LR4/LR5/LR6] | Treg-+>CD8[LR7/LR8/LR10/LR11/LR12] | CD8-->Macrophage[LR1/LR2/LR3/LR4/LR5/LR6]"
"Tumor->CD8->CD4conv->Treg","+,+,+",3,1,0.000894497166041168,"Tumor-+>CD8[LR7/LR8/LR9/LR10/LR11/LR12] | CD8-+>CD4conv[LR7/LR8/LR9/LR10/LR11/LR12] | CD4conv-+>Treg[LR7/LR8/LR9/LR10/LR11/LR12]"
"Tumor->CD4conv->CD8->Treg","-,-,+",3,1,0.000889603128230474,"Tumor-->CD4conv[LR1/LR2/LR3/LR4/LR5/LR6] | CD4conv-->CD8[LR1/LR2/LR3/LR4/LR5/LR6] | CD8-+>Treg[LR7/LR8/LR9/LR10/LR11/LR12]"
"Tumor->CD8->NK->Treg","-,-,+",3,1,0.000872461706797629,"Tumor-->CD8[LR1/LR2/LR3/LR4/LR5/LR6] | CD8-->NK[LR1/LR2/LR3/LR4/LR5/LR6] | NK-+>Treg[LR7/LR8/LR10/LR11/LR12]"
"Tumor->Treg->CD4conv->CD8","+,-,-",3,1,0.000844047293305984,"Tumor-+>Treg[LR7/LR8/LR9/LR10/LR11/LR12] | Treg-->CD4conv[LR1/LR2/LR3/LR4/LR5/LR6] | CD4conv-->CD8[LR1/LR2/LR3/LR4/LR5/LR6]"
"Tumor->Treg->CD8->CD4conv","+,+,+",3,1,0.000817424699998295,"Tumor-+>Treg[LR7/LR8/LR9/LR10/LR11/LR12] | Treg-+>CD8[LR7/LR8/LR10/LR11/LR12] | CD8-+>CD4conv[LR7/LR8/LR9/LR10/LR11/LR12]"
"Tumor->CD8->Treg->NK","+,-,-",3,1,0.000812476785640157,"Tumor-+>CD8[LR7/LR8/LR9/LR10/LR11/LR12] | CD8-->Treg[LR1/LR2/LR3/LR4/LR5/LR6] | Treg-->NK[LR1/LR2/LR3/LR4/LR5/LR6]"
"Endo->CD8->Tumor->Treg","-,+,-",3,1,0.000807312573962597,"Endo-->CD8[LR1/LR2/LR3/LR5/LR6] | CD8-+>Tumor[LR7/LR8/LR9/LR10/LR11/LR12] | Tumor-->Treg[LR1/LR2/LR3/LR4/LR5/LR6]"
"Tumor->CD4conv->Treg->CD8","+,-,-",3,1,0.000805883973812613,"Tumor-+>CD4conv[LR7/LR8/LR9/LR10/LR11/LR12] | CD4conv-->Treg[LR1/LR2/LR3/LR4/LR5/LR6] | Treg-->CD8[LR1/LR2/LR3/LR4/LR5/LR6]"
"Tumor->CD8->Treg->CD4conv","+,+,+",3,1,0.000802168542328191,"Tumor-+>CD8[LR7/LR8/LR9/LR10/LR11/LR12] | CD8-+>Treg[LR7/LR8/LR9/LR10/LR11/LR12] | Treg-+>CD4conv[LR7/LR8/LR10/LR11/LR12]"
"Tumor->Treg->CD4conv->CD8","+,+,+",3,1,0.000796632438078706,"Tumor-+>Treg[LR7/LR8/LR9/LR10/LR11/LR12] | Treg-+>CD4conv[LR7/LR8/LR10/LR11/LR12] | CD4conv-+>CD8[LR7/LR8/LR9/LR10/LR11/LR12]"
"Tumor->Treg->CD8->NK","+,-,-",3,1,0.00079331671895661,"Tumor-+>Treg[LR7/LR8/LR9/LR10/LR11/LR12] | Treg-->CD8[LR1/LR2/LR3/LR4/LR5/LR6] | CD8-->NK[LR1/LR2/LR3/LR4/LR5/LR6]"
"Tumor->CD4conv->CD8->Treg","+,+,+",3,1,0.000790507993383262,"Tumor-+>CD4conv[LR7/LR8/LR9/LR10/LR11/LR12] | CD4conv-+>CD8[LR7/LR8/LR9/LR10/LR11/LR12] | CD8-+>Treg[LR7/LR8/LR9/LR10/LR11/LR12]"
"Tumor->Treg->CD8->NK","-,+,-",3,1,0.00078951182167794,"Tumor-->Treg[LR1/LR2/LR3/LR4/LR5/LR6] | Treg-+>CD8[LR7/LR8/LR10/LR11/LR12] | CD8-->NK[LR1/LR2/LR3/LR4/LR5/LR6]"
"Tumor->Treg->CD8->NK","-,-,+",3,1,0.000775341078503186,"Tumor-->Treg[LR1/LR2/LR3/LR4/LR5/LR6] | Treg-->CD8[LR1/LR2/LR3/LR4/LR5/LR6] | CD8-+>NK[LR7/LR8/LR9/LR10/LR11/LR12]"
"Tumor->Treg->CD8->CAF","-,-,+",3,1,0.00077221522978515,"Tumor-->Treg[LR1/LR2/LR3/LR4/LR5/LR6] | Treg-->CD8[LR1/LR2/LR3/LR4/LR5/LR6] | CD8-+>CAF[LR7/LR8/LR9/LR10/LR11]"
"Tumor->CD4conv->Treg->CD8","-,-,+",3,1,0.000769790260705688,"Tumor-->CD4conv[LR1/LR2/LR3/LR4/LR5/LR6] | CD4conv-->Treg[LR1/LR2/LR3/LR4/LR5/LR6] | Treg-+>CD8[LR7/LR8/LR10/LR11/LR12]"
"Tumor->Macrophage->Treg->CD8","-,-,+",3,1,0.000750105003721846,"Tumor-->Macrophage[LR1/LR2/LR3/LR4/LR5/LR6] | Macrophage-->Treg[LR1/LR2/LR3/LR5/LR6] | Treg-+>CD8[LR7/LR8/LR10/LR11/LR12]"
"Tumor->NK->CD8->Treg","-,+,-",3,1,0.000748476655290643,"Tumor-->NK[LR1/LR2/LR3/LR4/LR5/LR6] | NK-+>CD8[LR7/LR8/LR10/LR11/LR12] | CD8-->Treg[LR1/LR2/LR3/LR4/LR5/LR6]"
"Tumor->CD8->Macrophage->Treg","+,-,-",3,1,0.000736674115558591,"Tumor-+>CD8[LR7/LR8/LR9/LR10/LR11/LR12] | CD8-->Macrophage[LR1/LR2/LR3/LR4/LR5/LR6] | Macrophage-->Treg[LR1/LR2/LR3/LR5/LR6]"
"Tumor->CD4conv->Treg->CD8","+,+,+",3,1,0.000721993802076051,"Tumor-+>CD4conv[LR7/LR8/LR9/LR10/LR11/LR12] | CD4conv-+>Treg[LR7/LR8/LR9/LR10/LR11/LR12] | Treg-+>CD8[LR7/LR8/LR10/LR11/LR12]"
"CD8->Treg->Tumor","-,-",2,1,0.000704564212995465,"CD8-->Treg[LR1/LR2/LR3/LR4/LR5/LR6] | Treg-->Tumor[LR1/LR2/LR3/LR4/LR5/LR6]"
"CAF->CD8->Tumor->Treg","-,+,-",3,1,0.00069794346851123,"CAF-->CD8[LR1/LR2/LR3/LR4/LR5/LR6] | CD8-+>Tumor[LR7/LR8/LR9/LR10/LR11/LR12] | Tumor-->Treg[LR1/LR2/LR3/LR4/LR5/LR6]"
"Tumor->CD8->NK->Treg","+,-,-",3,1,0.000693720613445101,"Tumor-+>CD8[LR7/LR8/LR9/LR10/LR11/LR12] | CD8-->NK[LR1/LR2/LR3/LR4/LR5/LR6] | NK-->Treg[LR1/LR2/LR3/LR4/LR5/LR6]"
"Tumor->CD8->CD4conv->Treg","-,-,+",3,1,0.000690515480721955,"Tumor-->CD8[LR1/LR2/LR3/LR4/LR5/LR6] | CD8-->CD4conv[LR1/LR2/LR3/LR4/LR5/LR6] | CD4conv-+>Treg[LR7/LR8/LR9/LR10/LR11/LR12]"
"Tumor->CD8->CD8->Treg","+,-,-",3,1,0.000664923456991238,"Tumor-+>CD8[LR7/LR8/LR9/LR10/LR11/LR12] | CD8-->CD8[LR1/LR2/LR3/LR4/LR5/LR6] | CD8-->Treg[LR1/LR2/LR3/LR4/LR5/LR6]"
"Tumor->CD8->NK->Treg","-,+,-",3,1,0.000657253647610077,"Tumor-->CD8[LR1/LR2/LR3/LR4/LR5/LR6] | CD8-+>NK[LR7/LR8/LR9/LR10/LR11/LR12] | NK-->Treg[LR1/LR2/LR3/LR4/LR5/LR6]"
"Tumor->CD8->Treg->CD4conv","-,-,+",3,1,0.000655571419340628,"Tumor-->CD8[LR1/LR2/LR3/LR4/LR5/LR6] | CD8-->Treg[LR1/LR2/LR3/LR4/LR5/LR6] | Treg-+>CD4conv[LR7/LR8/LR10/LR11/LR12]"
"Tumor->Treg->CD8->CD4conv","+,-,-",3,1,0.000654075615146053,"Tumor-+>Treg[LR7/LR8/LR9/LR10/LR11/LR12] | Treg-->CD8[LR1/LR2/LR3/LR4/LR5/LR6] | CD8-->CD4conv[LR1/LR2/LR3/LR4/LR5/LR6]"
"Tumor->Treg->CD8->CD4conv","-,+,-",3,1,0.000650938544580608,"Tumor-->Treg[LR1/LR2/LR3/LR4/LR5/LR6] | Treg-+>CD8[LR7/LR8/LR10/LR11/LR12] | CD8-->CD4conv[LR1/LR2/LR3/LR4/LR5/LR6]"
"Tumor->CD4conv->CD8->Treg","-,+,-",3,1,0.000639655729986104,"Tumor-->CD4conv[LR1/LR2/LR3/LR4/LR5/LR6] | CD4conv-+>CD8[LR7/LR8/LR9/LR10/LR11/LR12] | CD8-->Treg[LR1/LR2/LR3/LR4/LR5/LR6]"
