"edge","polarity","lr_name","score","share","rank","sender_name","receiver_name","sign"
"CD4conv->Macrophage","pos","IFNG_IFNGR1",2.92995579975155,0.299065160660483,2,"CD4conv","Macrophage",1
"CD4conv->Macrophage","pos","CD80_CD28",0.0357170756664859,0.00364569764957751,3,"CD4conv","Macrophage",1
"CD4conv->Macrophage","pos","IL12A_IL12RB1",0.0267346735286649,0.0027288498463812,4,"CD4conv","Macrophage",1
"CD4conv->Macrophage","pos","CD86_CD28",0.00838647657794926,0.000856020751361659,5,"CD4conv","Macrophage",1
"CD4conv->Macrophage","pos","CXCL9_CXCR3",0.000260192020078933,2.65582055176669e-05,6,"CD4conv","Macrophage",1
"CD4conv->NK","neg","IL10_IL10RA",3.46825884480071,0.53879967453392,1,"CD4conv","NK",-1
"CD4conv->NK","neg","LGALS9_HAVCR2",2.21844789987674,0.344639503541071,2,"CD4conv","NK",-1
"CD4conv->NK","neg","PVR_TIGIT",0.359703878859759,0.0558805849075441,3,"CD4conv","NK",-1
"CD4conv->NK","neg","TGFB1_TGFBR1",0.225826114877649,0.0350824556764962,4,"CD4conv","NK",-1
"CD4conv->NK","neg","FASLG_FAS",0.148264026867129,0.023033058660213,5,"CD4conv","NK",-1
"CD4conv->NK","neg","CD274_PDCD1",0.0165091453139522,0.00256472268075532,6,"CD4conv","NK",-1
"CD4conv->NK","pos","CCL5_CCR5",1.25078936702652,0.550420766951638,1,"CD4conv","NK",1
"CD4conv->NK","pos","IFNG_IFNGR1",0.931677921142582,0.409992992766091,2,"CD4conv","NK",1
"CD4conv->NK","pos","CXCL9_CXCR3",0.0422213552101326,0.0185798755003375,3,"CD4conv","NK",1
"CD4conv->NK","pos","IL12A_IL12RB1",0.0402516416276068,0.0177130858638488,4,"CD4conv","NK",1
