"path_name","signs","hop","net_sign","contribution","lr_annotation"
"CD4conv->Macrophage->Macrophage","-,-",2,1,0.0121622720807692,"CD4conv-->Macrophage[LR1/LR2/LR3/LR4/LR5/LR6] | Macrophage-->Macrophage[LR1/LR2/LR3/LR5/LR6]"
"CD4conv->CD8->Treg","+,+",2,1,0.012150035454792,"CD4conv-+>CD8[LR7/LR8/LR9/LR10/LR11/LR12] | CD8-+>Treg[LR7/LR8/LR9/LR10/LR11/LR12]"
"Tumor->Treg->CD8","+,+",2,1,0.0120186720562545,"Tumor-+>Treg[LR7/LR8/LR9/LR10/LR11/LR12] | Treg-+>CD8[LR7/LR8/LR10/LR11/LR12]"
"Bcell->CD8->CD8","+,+",2,1,0.0120104230830382,"Bcell-+>CD8[LR7/LR8/LR9/LR10/LR11/LR12] | CD8-+>CD8[LR7/LR8/LR9/LR10/LR11/LR12]"
"CD8->CD8->Treg","+,+",2,1,0.01195472698292,"CD8-+>CD8[LR7/LR8/LR9/LR10/LR11/LR12] | CD8-+>Treg[LR7/LR8/LR9/LR10/LR11/LR12]"
"Bcell->Macrophage->Treg","-,-",2,1,0.0118922874719187,"Bcell-->Macrophage[LR1/LR2/LR3/LR4/LR5/LR6] | Macrophage-->Treg[LR1/LR2/LR3/LR5/LR6]"
"Treg->CD8->CD8","+,+",2,1,0.0117768028654248,"Treg-+>CD8[LR7/LR8/LR10/LR11/LR12] | CD8-+>CD8[LR7/LR8/LR9/LR10/LR11/LR12]"
"Tumor->Treg->Macrophage","+,+",2,1,0.0117596051357126,"Tumor-+>Treg[LR7/LR8/LR9/LR10/LR11/LR12] | Treg-+>Macrophage[LR7/LR8/LR10/LR11/LR12]"
"CAF->Macrophage->CD8","-,-",2,1,0.0117368969500108,"CAF-->Macrophage[LR1/LR2/LR3/LR4/LR5/LR6] | Macrophage-->CD8[LR1/LR2/LR3/LR5/LR6]"
"Macrophage->Treg->CD8","+,+",2,1,0.0116371168788784,"Macrophage-+>Treg[LR7/LR8/LR9/LR10/LR11/LR12] | Treg-+>CD8[LR7/LR8/LR10/LR11/LR12]"
"CAF->Treg->CD4conv","-,-",2,1,0.0115825228938864,"CAF-->Treg[LR1/LR2/LR3/LR4/LR5/LR6] | Treg-->CD4conv[LR1/LR2/LR3/LR4/LR5/LR6]"
"NK->Treg->CD8","+,+",2,1,0.011560032501548,"NK-+>Treg[LR7/LR8/LR10/LR11/LR12] | Treg-+>CD8[LR7/LR8/LR10/LR11/LR12]"
"Macrophage->CD8->CD8","-,-",2,1,0.0114737937303107,"Macrophage-->CD8[LR1/LR2/LR3/LR5/LR6] | CD8-->CD8[LR1/LR2/LR3/LR4/LR5/LR6]"
"Tumor->Treg->Treg","+,+",2,1,0.0114705795192176,"Tumor-+>Treg[LR7/LR8/LR9/LR10/LR11/LR12] | Treg-+>Treg[LR7/LR8/LR10/LR11/LR12]"
"Treg->Macrophage->Treg","+,+",2,1,0.0113862745212797,"Treg-+>Macrophage[LR7/LR8/LR10/LR11/LR12] | Macrophage-+>Treg[LR7/LR8/LR9/LR10/LR11/LR12]"
"Macrophage->Treg->Macrophage","+,+",2,1,0.0113862745212797,"Macrophage-+>Treg[LR7/LR8/LR9/LR10/LR11/LR12] | Treg-+>Macrophage[LR7/LR8/LR10/LR11/LR12]"
"Endo->NK->Macrophage","-,-",2,1,0.0113797813188125,"Endo-->NK[LR1/LR2/LR3/LR5/LR6] | NK-->Macrophage[LR1/LR2/LR3/LR4/LR5/LR6]"
"Bcell->CD8->Treg","+,+",2,1,0.011359527361039,"Bcell-+>CD8[LR7/LR8/LR9/LR10/LR11/LR12] | CD8-+>Treg[LR7/LR8/LR9/LR10/LR11/LR12]"
"NK->Treg->Macrophage","+,+",2,1,0.0113108517262075,"NK-+>Treg[LR7/LR8/LR10/LR11/LR12] | Treg-+>Macrophage[LR7/LR8/LR10/LR11/LR12]"
"Bcell->Treg->CD8","+,+",2,1,0.0112284599909162,"Bcell-+>Treg[LR7/LR8/LR9/LR10/LR11/LR12] | Treg-+>CD8[LR7/LR8/LR10/LR11/LR12]"
"Tumor->Macrophage->CD8","-,-",2,1,0.0112219347334338,"Tumor-->Macrophage[LR1/LR2/LR3/LR4/LR5/LR6] | Macrophage-->CD8[LR1/LR2/LR3/LR5/LR6]"
"NK->Treg->Macrophage","-,-",2,1,0.0112119803034,"NK-->Treg[LR1/LR2/LR3/LR4/LR5/LR6] | Treg-->Macrophage[LR1/LR2/LR3/LR4/LR5/LR6]"
